Timestep	2018	2019	2020	2021	2022
604	282.25	273.65	275.85	272.35	274.45
605	281.15	273.75	275.85	271.65	274.15
606	281.45	273.75	276.25	271.75	273.95
607	281.25	273.75	276.25	272.35	273.85
608	281.25	273.65	275.85	272.35	274.05
609	280.85	273.65	275.05	272.15	273.95
610	280.15	274.15	276.45	272.55	274.15
611	280.85	274.75	276.45	273.15	274.55
612	281.15	274.95	276.75	274.85	275.05
613	281.45	275.25	277.05	275.65	275.05
614	281.65	275.85	277.15	275.75	275.05
615	280.45	276.55	277.35	275.95	275.25
616	280.85	276.55	277.35	275.55	275.15
617	280.35	276.75	277.55	275.25	274.75
618	280.15	275.85	277.35	274.05	274.65
619	279.65	275.75	277.45	273.35	274.45
620	279.15	275.55	277.25	272.85	274.35
621	279.15	275.25	277.15	272.05	274.45
622	279.25	275.15	277.35	272.35	274.65
623	278.95	275.15	277.35	272.55	274.45
624	279.05	274.85	277.45	272.45	274.25
625	279.15	274.85	277.55	272.15	274.15
626	279.05	275.05	277.55	271.45	273.65
627	279.25	275.55	277.75	271.35	273.65
628	279.15	276.05	277.75	271.45	273.75
629	278.95	277.75	277.65	271.95	273.75
630	278.95	278.05	277.75	272.45	273.75
