Mois	min	max	mean	2014
1	271.05	280.35	274.6	272.55
1	271.05	280.35	274.275	272.45
1	271.15	281.75	274.2125	271.75
1	271.25	281.65	274.175	271.25
1	271.25	281.35	274.7375	271.25
1	270.95	281.35	274.8125	270.95
1	270.55	281.95	274.7	270.55
1	271.05	282.85	275.3875	271.05
1	271.95	284.25	276.3	271.95
1	272.95	285.55	277.0375	272.95
1	273.05	286.55	277.625	273.75
1	273.05	284.75	277.7875	274.45
1	272.95	285.35	278.2375	274.65
1	272.85	287.15	278.5625	274.75
1	272.75	284.95	278	274.65
1	272.65	284.85	277.7	274.45
1	272.65	285.25	277.4	274.15
1	272.75	283.65	276.9125	274.05
1	272.35	283.95	276.875	274.05
1	271.15	283.45	276.6125	274.15
1	270.75	282.35	276.3875	273.45
1	270.05	282.05	276.3125	273.05
1	269.75	282.05	276.0375	272.35
1	269.35	281.75	275.6375	271.65
1	269.65	281.15	275.5125	271.15
1	269.45	280.65	275.3125	270.75
1	269.35	280.55	275.2625	270.35
1	269.55	280.75	275.175	269.95
1	269.55	280.95	275.075	269.55
1	269.95	280.95	275.1	269.95
1	269.55	281.05	274.725	269.55
1	269.75	281.85	275.0625	269.75
1	271.85	282.25	276.0875	272.75
1	272.05	282.45	276.85	274.55
1	272.05	282.95	277.5125	275.75
1	272.25	283.05	277.9875	276.75
1	272.45	283.25	278.2875	278.15
1	272.35	283.35	278.525	278.95
1	272.15	283.65	278.4	278.55
1	271.75	284.05	278.175	277.65
1	271.45	284.55	278	276.45
1	271.15	284.25	277.8375	274.85
1	271.05	284.45	277.725	273.65
1	270.85	284.45	277.6	273.15
1	270.95	284.55	277.6	273.35
1	270.65	284.85	277.375	272.45
1	269.95	285.55	277.15	272.05
2	269.45	285.55	276.8625	271.75
2	268.85	285.15	276.6375	271.05
2	268.45	284.55	276.4625	270.85
2	268.45	284.75	276.475	270.45
2	268.25	284.35	276.2	270.05
2	268.15	284.15	276.075	270.15
2	268.25	284.35	275.925	270.15
2	268.35	284.55	275.975	270.15
