2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
3	1	1	1	0	1	1	1	1	1.111111111	3	0
3	0	1	1	0	1	1	1	1	1	3	0
3	0	1	1	0	1	1	1	1	1	3	0
2	1	1	1	0	1	1	1	1	1	2	0
3	1	1	1	0	1	1	1	1	1.111111111	3	0
3	0	1	1	1	1	1	1	1	1.111111111	3	0
3	1	1	1	0	1	1	1	1	1.111111111	3	0
8	10	3	6	12	5	1	1	1	5.222222222	12	1
101	103	15	93	99	50	9	15	18	55.88888889	103	9
230	210	36	242	208	94	24	99	134	141.8888889	242	24
326	340	88	365	316	230	39	274	265	249.2222222	365	39
389	379	158	398	230	579	68	380	362	327	579	68
406	369	109	378	293	507	113	342	381	322	507	109
337	326	64	329	218	425	117	246	315	264.1111111	425	64
229	133	45	104	112	187	132	243	218	155.8888889	243	45
99	74	27	69	47	48	49	145	194	83.55555556	194	27
14	6	5	11	6	4	13	50	68	19.66666667	68	4
3	1	1	1	1	1	1	2	4	1.666666667	4	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	2	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	2	1	1	1.222222222	2	1
3	5	9	3	2	4	1	1	1	3.222222222	9	1
21	39	84	25	32	42	8	10	15	30.66666667	84	8
48	99	228	58	95	95	53	63	131	96.66666667	228	48
101	130	368	113	119	161	127	214	247	175.5555556	368	101
148	143	404	219	253	245	202	369	333	257.3333333	404	143
142	197	255	200	216	340	176	409	236	241.2222222	409	142
134	98	169	144	191	371	214	398	218	215.2222222	398	98
73	37	119	53	114	203	124	309	209	137.8888889	309	37
30	18	61	22	59	101	76	179	85	70.11111111	179	18
8	3	8	5	8	9	33	62	48	20.44444444	62	3
3	1	1	1	1	1	3	4	4	2.111111111	4	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
4	3	6	4	3	3	1	1	1	2.888888889	6	1
29	17	31	38	31	30	14	12	23	25	38	12
29	155	62	96	60	84	66	73	139	84.88888889	155	29
59	206	69	171	100	141	179	141	261	147.4444444	261	59
47	235	95	210	126	180	280	338	375	209.5555556	375	47
65	275	68	161	135	208	218	267	417	201.5555556	417	65
110	297	48	136	120	227	165	240	413	195.1111111	413	48
38	110	31	87	65	203	92	180	332	126.4444444	332	31
14	38	10	21	33	102	41	96	196	61.22222222	196	10
4	7	4	3	6	13	17	34	66	17.11111111	66	3
2	1	1	1	1	1	3	2	4	1.777777778	4	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	0	1	1	1	2	0
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
4	5	2	3	3	4	1	1	1	2.666666667	5	1
30	43	8	16	31	47	5	14	15	23.22222222	47	5
72	92	29	63	76	119	25	70	71	68.55555556	119	25
101	112	46	122	128	188	25	141	217	120	217	25
118	158	82	137	184	308	60	195	439	186.7777778	439	60
257	154	144	97	210	395	46	377	414	232.6666667	414	46
264	138	106	97	237	392	33	390	400	228.5555556	400	33
107	136	61	56	227	251	28	314	329	167.6666667	329	28
52	46	35	28	84	110	17	187	197	84	197	17
12	13	9	6	10	15	7	62	73	23	73	6
